epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.75613,1.12407,7.40204,1.80058,0,0,0,0,1.49488,7.77825,1.89507,0.09703,3e-05,3e-05
2,9.58624,1.14373,7.36281,1.79193,0,0,0,0,1.83146,7.97571,2.4105,0.09307,6.99845e-05,6.99845e-05
3,13.1745,1.06474,5.63138,1.71706,0,0,0,0,1.83543,6.79232,2.16785,0.0891099,0.000109902,0.000109902
4,16.873,0.98042,3.81202,1.59935,0,0,0,0,2.84979,8.91937,3.36535,0.0851497,0.0001497,0.0001497
5,20.5228,0.997,3.17633,1.61133,0,0,0,0,3.29807,8.05508,3.7418,0.0811893,0.000189326,0.000189326
6,24.0759,1.0143,2.79138,1.58001,0,0,0,0,2.91757,7.37799,3.38502,0.0772287,0.000228726,0.000228726
7,27.6586,1.03792,2.56893,1.6247,0,0,0,0,2.35723,7.52079,2.81254,0.0732678,0.000267848,0.000267848
8,30.794,0.98926,2.30128,1.59844,0,0,0,0,2.3392,7.76753,2.88369,0.0693066,0.00030664,0.00030664
9,33.9963,0.92406,2.00708,1.55957,0,0,0,0,2.60472,7.52162,3.45117,0.0653451,0.000345052,0.000345052
10,37.2456,0.91589,1.91138,1.56852,0,0,0,0,2.65294,7.61432,3.43293,0.061383,0.000383032,0.000383032
11,40.4087,0.98661,1.83253,1.58639,1,0.125,0.56249,0.27311,1.85612,6.39728,2.34749,0.0574205,0.000420529,0.000420529
12,43.7082,1.00619,1.95833,1.59537,1,0.625,0.81247,0.57721,1.73655,4.87747,2.42362,0.0534575,0.000457496,0.000457496
13,47.0276,0.99107,1.83891,1.58425,1,0.625,0.81247,0.65644,1.21044,4.52144,1.85317,0.0494939,0.000493884,0.000493884
14,50.2695,0.97814,1.74257,1.57118,0.85714,0.25,0.57071,0.42246,1.75492,7.00789,2.6673,0.0455296,0.000529644,0.000529644
15,53.4113,0.97413,1.71143,1.573,0.85714,0.25,0.54786,0.36462,1.95422,7.18294,2.65006,0.0415647,0.000564732,0.000564732
16,56.6776,0.98954,1.78582,1.58814,0.75,0.5,0.67625,0.43111,1.84775,5.56445,2.65682,0.0375991,0.0005991,0.0005991
17,59.8691,1.01613,1.80796,1.61225,1,0.875,0.9374,0.56057,2.00903,4.08259,3.13951,0.0336327,0.000632706,0.000632706
18,63.0695,1.02189,1.88229,1.60827,0.94986,0.7895,0.8712,0.5215,2.10829,3.55555,3.30437,0.0296655,0.000665507,0.000665507
19,66.2532,1.04409,1.80212,1.61926,0.99774,0.66667,0.8234,0.50472,1.82524,4.39501,2.57513,0.0256975,0.000697461,0.000697461
20,69.4108,1.06121,1.8396,1.6275,1,0.5,0.75,0.53872,1.82903,5.83862,2.36477,0.0217285,0.000728527,0.000728527
21,72.6209,1.02459,1.82333,1.59641,1,0.04167,0.52083,0.41666,2.97411,10.0698,3.27227,0.0177587,0.000758668,0.000758668
22,75.7841,1.01974,1.74584,1.61823,1,0.08333,0.54165,0.2805,2.44304,9.98313,2.73898,0.0137878,0.000787846,0.000787846
23,79.0623,1.03837,1.78021,1.60904,1,0.875,0.9374,0.57687,1.65656,2.78747,2.32506,0.00981603,0.000816025,0.000816025
24,82.2583,1.07357,1.84192,1.61738,0.80952,0.70833,0.77186,0.51803,1.94646,3.15378,2.82655,0.00584317,0.000843172,0.000843172
25,85.5276,1.05165,1.84648,1.61531,0.80952,0.70833,0.72323,0.43199,1.96611,3.50333,2.82884,0.00186926,0.000869256,0.000869256
26,88.8025,1.00575,1.76119,1.59982,0.71429,0.625,0.59319,0.32035,2.48671,4.91134,4.2317,0.000868198,0.000868198,0.000868198
27,92.041,0.98762,1.7617,1.5884,0.47619,0.41667,0.36248,0.23081,3.17502,4.72901,8.09888,0.000858046,0.000858046,0.000858046
28,95.2397,1.08482,1.7979,1.65166,0.66667,0.58333,0.54276,0.29059,2.89878,4.65515,6.92771,0.00084759,0.00084759,0.00084759
29,98.4741,1.06414,1.73777,1.63613,0.4882,0.41667,0.43808,0.19485,4.04425,5.74751,11.4349,0.000836841,0.000836841,0.000836841
30,101.725,1.00246,1.76492,1.57195,0.61905,0.54167,0.55518,0.22853,3.47197,5.59836,8.21689,0.000825808,0.000825808,0.000825808
31,105.062,1.05429,1.79999,1.61242,0.83249,0.66667,0.76536,0.42325,2.4904,4.44434,4.71146,0.000814503,0.000814503,0.000814503
32,108.296,1.01922,1.69854,1.59048,0.85,0.70833,0.82342,0.58305,1.66861,3.17842,2.85106,0.000802938,0.000802938,0.000802938
33,111.389,1.03557,1.69982,1.63973,0.88889,0.66667,0.80225,0.55195,1.83027,3.81104,2.88222,0.000791122,0.000791122,0.000791122
34,114.61,0.9794,1.68133,1.57856,1,0.41667,0.70831,0.49755,2.65476,5.87176,3.24852,0.000779069,0.000779069,0.000779069
35,117.819,1.02246,1.7067,1.59217,0.92308,0.5,0.71808,0.52331,2.07562,4.38001,2.89037,0.000766789,0.000766789,0.000766789
36,121.036,0.95446,1.68008,1.56327,0.89474,0.70833,0.83188,0.54734,1.68746,3.19844,2.50139,0.000754296,0.000754296,0.000754296
37,124.237,0.97616,1.61356,1.56778,1,0.69789,0.83844,0.57351,1.59412,3.085,2.30829,0.000741601,0.000741601,0.000741601
38,127.431,1.01039,1.68522,1.5823,1,0.70503,0.84586,0.49755,1.90796,3.38594,2.74408,0.000728717,0.000728717,0.000728717
39,130.93,0.98493,1.55532,1.57076,1,0.625,0.81247,0.56776,1.67575,4.02983,2.31414,0.000715656,0.000715656,0.000715656
40,134.5,0.93972,1.55179,1.55395,1,0.70833,0.85414,0.61266,1.2231,3.67436,1.69288,0.000702432,0.000702432,0.000702432
41,138.01,0.93945,1.61922,1.55844,0.90476,0.79167,0.84224,0.58582,1.20531,2.86063,1.72789,0.000689058,0.000689058,0.000689058
42,141.577,0.9548,1.59445,1.5541,0.80952,0.70833,0.7575,0.54798,1.28808,2.95551,1.96952,0.000675546,0.000675546,0.000675546
43,145.796,0.92193,1.53752,1.54032,0.90476,0.79167,0.84274,0.54337,1.89545,3.3351,2.61929,0.00066191,0.00066191,0.00066191
44,149.963,0.90784,1.50652,1.53594,0.91859,0.79167,0.8837,0.60871,1.77562,2.56888,2.65068,0.000648164,0.000648164,0.000648164
45,154.149,0.94932,1.54172,1.55582,0.95238,0.83333,0.90652,0.61542,1.78446,2.02864,2.89196,0.000634322,0.000634322,0.000634322
46,158.359,0.92979,1.52203,1.55207,1,0.875,0.9374,0.68684,1.28399,1.78716,1.83976,0.000620396,0.000620396,0.000620396
47,162.55,0.9246,1.56096,1.54027,1,0.875,0.9374,0.75871,1.09047,1.74495,1.55788,0.0006064,0.0006064,0.0006064
48,166.763,0.90278,1.46015,1.51606,1,0.875,0.9374,0.72801,0.99843,1.64077,1.55479,0.000592349,0.000592349,0.000592349
49,170.592,0.92988,1.46619,1.54764,1,0.875,0.9374,0.70789,1.25611,1.86608,1.89514,0.000578256,0.000578256,0.000578256
50,174.406,0.91239,1.44121,1.5372,1,0.875,0.9374,0.76092,1.09358,1.4098,1.76485,0.000564135,0.000564135,0.000564135
51,178.225,0.94838,1.4459,1.54911,0.90476,0.79167,0.8737,0.6561,1.2444,1.71099,2.01622,0.00055,0.00055,0.00055
52,181.98,0.91597,1.46974,1.52446,0.95238,0.83333,0.89462,0.72582,1.07412,1.59036,1.76416,0.000535865,0.000535865,0.000535865
53,185.938,0.88924,1.4126,1.49682,1,0.875,0.9374,0.78614,1.10038,1.52172,1.69931,0.000521744,0.000521744,0.000521744
54,189.888,0.84531,1.42905,1.5016,0.96488,0.79167,0.8862,0.71993,1.05651,1.81937,1.68093,0.000507651,0.000507651,0.000507651
55,193.898,0.82941,1.3951,1.50112,0.96754,0.79167,0.8862,0.72927,1.14797,2.15265,1.75816,0.0004936,0.0004936,0.0004936
56,197.459,0.85351,1.46297,1.50478,0.86892,0.75,0.79443,0.60449,1.35482,2.28668,2.30759,0.000479604,0.000479604,0.000479604
57,201.097,0.86277,1.497,1.51398,0.95238,0.83333,0.90652,0.66713,1.29031,2.11773,1.8388,0.000465678,0.000465678,0.000465678
58,204.753,0.86654,1.40435,1.50867,1,0.875,0.9374,0.71594,1.06229,1.81899,1.61901,0.000451836,0.000451836,0.000451836
59,208.431,0.86668,1.42573,1.51076,1,0.875,0.9374,0.7037,1.01061,1.61994,1.54164,0.00043809,0.00043809,0.00043809
60,212.065,0.84292,1.30202,1.49985,1,0.875,0.9374,0.78154,0.91892,1.37981,1.47533,0.000424454,0.000424454,0.000424454
61,215.829,0.85647,1.33165,1.47662,1,0.875,0.9374,0.76819,0.98948,1.39174,1.58237,0.000410942,0.000410942,0.000410942
62,219.622,0.81263,1.26059,1.46834,1,0.875,0.9374,0.77728,0.89559,1.25155,1.52619,0.000397568,0.000397568,0.000397568
63,223.403,0.78544,1.27899,1.45364,1,0.875,0.9374,0.78377,0.94483,1.36461,1.58362,0.000384344,0.000384344,0.000384344
64,227.199,0.82471,1.36511,1.48846,1,0.875,0.9374,0.78835,1.01777,1.34592,1.6619,0.000371283,0.000371283,0.000371283
65,231.414,0.79018,1.32017,1.46449,1,0.875,0.9374,0.79524,0.96418,1.42707,1.5789,0.000358399,0.000358399,0.000358399
66,235.611,0.79376,1.33885,1.48848,1,0.875,0.9374,0.7566,1.08287,1.22763,1.69934,0.000345704,0.000345704,0.000345704
67,239.782,0.75735,1.27733,1.4509,1,0.875,0.9374,0.76367,1.01851,1.46946,1.59311,0.000333211,0.000333211,0.000333211
68,243.933,0.77163,1.28703,1.46174,1,0.875,0.9374,0.76099,0.96314,1.47041,1.56138,0.000320931,0.000320931,0.000320931
69,248.136,0.77254,1.28588,1.45768,1,0.875,0.9374,0.76134,0.93209,1.35218,1.5828,0.000308878,0.000308878,0.000308878
70,251.879,0.76264,1.21872,1.46849,1,0.875,0.9374,0.76549,0.96637,1.06177,1.66373,0.000297062,0.000297062,0.000297062
71,255.642,0.78739,1.26422,1.45883,1,0.875,0.9374,0.7721,1.0091,1.0374,1.66747,0.000285497,0.000285497,0.000285497
72,259.345,0.73126,1.1949,1.43813,1,0.875,0.9374,0.76042,1.08226,1.10632,1.70316,0.000274192,0.000274192,0.000274192
73,263.095,0.75824,1.24594,1.45928,1,0.875,0.9374,0.74856,1.07721,1.26742,1.65568,0.000263159,0.000263159,0.000263159
74,267.038,0.73831,1.18163,1.4342,1,0.875,0.9374,0.73362,1.1344,1.36982,1.68458,0.00025241,0.00025241,0.00025241
75,271.042,0.75232,1.20764,1.45134,1,0.875,0.9374,0.74481,1.05152,1.67067,1.60163,0.000241954,0.000241954,0.000241954
76,275.027,0.68233,1.08332,1.40487,1,0.875,0.9374,0.75068,1.01498,1.71096,1.60821,0.000231802,0.000231802,0.000231802
77,278.998,0.71459,1.13017,1.42245,1,0.875,0.9374,0.7661,1.03815,1.44046,1.64102,0.000221964,0.000221964,0.000221964
78,282.96,0.7199,1.15151,1.42791,1,0.875,0.9374,0.77076,1.07734,1.17231,1.68511,0.00021245,0.00021245,0.00021245
79,286.278,0.71879,1.14846,1.4256,1,0.875,0.9374,0.777,1.03327,1.03852,1.67587,0.000203269,0.000203269,0.000203269
80,290.054,0.7389,1.18706,1.45896,1,0.875,0.9374,0.76444,1.02592,1.18812,1.6501,0.00019443,0.00019443,0.00019443
81,332.019,0.462,0.70488,1.25755,1,0.875,0.9374,0.75654,1.04996,1.16531,1.65291,0.000185942,0.000185942,0.000185942
82,335.55,0.48568,0.69869,1.28128,1,0.875,0.9374,0.7644,1.02311,1.1535,1.64175,0.000177814,0.000177814,0.000177814
83,339.34,0.46503,0.65866,1.26788,1,0.875,0.9374,0.75276,1.05864,1.09338,1.69459,0.000170052,0.000170052,0.000170052
84,342.825,0.45887,0.66446,1.25444,1,0.875,0.9374,0.77697,1.00636,1.05079,1.67001,0.000162666,0.000162666,0.000162666
85,346.077,0.45126,0.62865,1.26864,1,0.875,0.9374,0.76172,1.04654,1.04411,1.7329,0.000155662,0.000155662,0.000155662
86,349.321,0.44753,0.62777,1.25109,1,0.875,0.9374,0.76658,0.99437,1.23608,1.68633,0.000149047,0.000149047,0.000149047
87,352.598,0.4357,0.60908,1.25197,1,0.875,0.9374,0.77589,0.9837,1.21681,1.66727,0.000142828,0.000142828,0.000142828
88,356.228,0.42443,0.58661,1.23416,1,0.875,0.9374,0.76338,1.02889,1.17923,1.72372,0.00013701,0.00013701,0.00013701
89,359.808,0.45396,0.60049,1.26091,1,0.875,0.9374,0.76551,1.05331,1.11327,1.74473,0.000131601,0.000131601,0.000131601
90,363.25,0.40693,0.57938,1.21245,1,0.875,0.9374,0.76008,1.03228,1.14553,1.75161,0.000126604,0.000126604,0.000126604
91,366.828,0.41041,0.56551,1.21924,1,0.875,0.9374,0.76826,0.99383,1.09544,1.71956,0.000122025,0.000122025,0.000122025
92,370.458,0.41788,0.57984,1.22814,1,0.875,0.9374,0.75931,1.0254,1.12005,1.73932,0.000117868,0.000117868,0.000117868
93,374.116,0.39983,0.56897,1.22616,1,0.875,0.9374,0.77498,0.99893,1.10988,1.71186,0.000114138,0.000114138,0.000114138
94,377.832,0.41199,0.55022,1.22237,1,0.875,0.9374,0.77288,0.98841,1.05385,1.67891,0.000110837,0.000110837,0.000110837
95,381.431,0.39576,0.56239,1.22055,1,0.875,0.9374,0.76127,1.02101,1.13907,1.65412,0.000107971,0.000107971,0.000107971
96,385.365,0.41612,0.55836,1.2364,1,0.875,0.9374,0.76397,1.01661,1.0978,1.62224,0.00010554,0.00010554,0.00010554
97,388.968,0.40114,0.55878,1.23492,1,0.875,0.9374,0.7503,1.00641,1.08902,1.66655,0.000103548,0.000103548,0.000103548
98,392.924,0.38033,0.53117,1.20326,1,0.875,0.9374,0.75942,0.98427,1.15242,1.66921,0.000101997,0.000101997,0.000101997
99,396.715,0.3837,0.54451,1.20767,1,0.875,0.9374,0.77472,1.0168,1.05084,1.69795,0.000100888,0.000100888,0.000100888
100,400.176,0.38002,0.53646,1.21717,1,0.875,0.9374,0.75781,1.01536,1.09714,1.68802,0.000100222,0.000100222,0.000100222
